Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Kozilek's Command,,R,17354,2.45,6408,2.59,31376,81.80%,55.50%,4817,57.70%,7656,61.30%,12473,59.90%,18870,52.60%,7.3pp,{X}{C}{C},2,Kindred Instant — Eldrazi,"Choose two —
• Target player creates X 0/1 colorless Eldrazi Spawn creature tokens with ""Sacrifice this creature: Add {C}.""
• Target player scries X, then draws a card.
• Exile target creature with mana value X or less.
• Exile up to X target cards from graveyards.",,,[],[],[],mh3,rare
Null Elemental Blast,,U,117346,7.75,11339,11.76,4401,6.50%,47.20%,695,45.60%,1032,47.90%,1727,47.00%,2676,47.50%,-0.5pp,{C},1,Instant,"Choose one —
• Counter target multicolored spell.
• Destroy target multicolored permanent.",,,[],[],[],mh3,uncommon
Nulldrifter,U,R,11231,1.6,6814,1.62,38212,93.90%,54.40%,6387,53.70%,9935,58.20%,16322,56.50%,21530,52.70%,3.8pp,{7},7,Creature — Eldrazi Elemental,"When you cast this spell, draw two cards.
Flying
Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)
Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",4,4,[],['U'],"['Flying', 'Annihilator', 'Evoke']",mh3,rare
Twisted Riddlekeeper,U,U,70179,3.78,16749,4.71,84445,84.80%,54.50%,13222,52.10%,22208,58.70%,35430,56.30%,48040,52.80%,3.4pp,{8},8,Creature — Eldrazi Sphinx,"Emerge {5}{C}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, tap up to two target permanents. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Flying",5,5,[],['U'],"['Flying', 'Emerge']",mh3,uncommon
"Ulamog, the Defiler",,M,5198,1.55,2780,1.5,13315,83.10%,51.90%,2031,48.20%,3374,53.70%,5405,51.60%,7642,51.60%,0.1pp,{10},10,Legendary Creature — Eldrazi,"When you cast this spell, target opponent exiles the top half of their library, rounded up.
Ward—Sacrifice two permanents.
Ulamog, the Defiler enters the battlefield with a number of +1/+1 counters on it equal to the greatest mana value among cards in exile.
Ulamog has annihilator X, where X is the number of +1/+1 counters on it.",7,7,[],[],['Ward'],mh3,mythic
Warped Tusker,G,C,237459,4.89,35668,6.98,178188,83.10%,55.00%,29946,53.00%,41494,56.80%,71440,55.20%,104456,54.60%,0.6pp,{7},7,Creature — Eldrazi Boar Beast,"Reach
When you cast or cycle Warped Tusker, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""
Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)",6,8,[],['G'],"['Reach', 'Cycling']",mh3,common
Wastescape Battlemage,UG,U,63907,3.51,17315,4.22,89462,85.60%,55.90%,14940,55.70%,21934,59.30%,36874,57.90%,50955,54.20%,3.6pp,{1}{C},2,Creature — Eldrazi Wizard,"Kicker {G} and/or {1}{U}
When you cast this spell, if it was kicked with its {G} kicker, exile target artifact or enchantment an opponent controls.
When you cast this spell, if it was kicked with its {1}{U} kicker, return target creature an opponent controls to its owner's hand.",2,2,[],"['G', 'U']",['Kicker'],mh3,uncommon
Aerie Auxiliary,W,C,204767,4.48,52125,5.38,289467,88.70%,57.80%,47897,59.00%,57981,58.60%,105878,58.80%,183152,57.30%,1.5pp,{3}{W},4,Creature — Bird Soldier,"Flying
When Aerie Auxiliary enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",3,3,['W'],['W'],"['Flying', 'Support']",mh3,common
Ajani Fells the Godsire,W,U,70639,4.04,17664,4.79,89889,82.50%,56.80%,14131,56.10%,18470,58.10%,32601,57.20%,56535,56.60%,0.6pp,{3}{W}{W},5,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Exile target creature an opponent controls with power 3 or greater.
II — Create a 2/1 white Cat Warrior creature token, then put a vigilance counter on a creature you control.
III — Target creature you control gains double strike until end of turn.",,,['W'],['W'],[],mh3,uncommon
Argent Dais,W,R,42756,5.93,4888,9.13,3646,12.60%,51.20%,605,47.40%,778,51.20%,1383,49.50%,2235,52.20%,-2.7pp,{1}{W},2,Artifact,"Argent Dais enters the battlefield with two oil counters on it.
Whenever two or more creatures attack, put an oil counter on Argent Dais.
{2}, {T}, Remove two oil counters from Argent Dais: Exile another target nonland permanent. Its controller draws two cards.",,,['W'],['W'],[],mh3,rare
Charitable Levy,W,U,119292,8.3,12779,12.19,927,1.20%,48.30%,155,,224,,379,,544,51.30%,,{1}{W},2,Enchantment,"Noncreature spells cost {1} more to cast.
Whenever a player casts a noncreature spell, put a collection counter on Charitable Levy. Then if there are three or more collection counters on it, sacrifice it. If you do, draw a card, then you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",,,['W'],['W'],[],mh3,uncommon
Dog Umbra,W,C,241490,5.27,41226,7.15,198869,78.70%,56.20%,32668,54.70%,40047,56.50%,72715,55.70%,124900,56.50%,-0.9pp,{1}{W},2,Enchantment — Aura,"Flash
Enchant creature
As long as another player controls enchanted creature, it can't attack or block. Otherwise, Dog Umbra has umbra armor. (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",,,['W'],['W'],"['Enchant', 'Flash']",mh3,common
Envoy of the Ancestors,W,U,74543,4.32,13263,5.65,63980,80.00%,54.80%,10913,54.00%,13193,54.00%,24106,54.00%,39898,55.40%,-1.4pp,{2}{W},3,Creature — Human Cleric,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Modified creatures you control have lifelink. (Equipment, Auras you control, and counters are modifications.)",2,3,['W'],['W'],['Outlast'],mh3,uncommon
Essence Reliquary,W,U,110971,7.16,18897,9.22,43582,38.50%,53.30%,7203,49.10%,9742,52.10%,16945,50.80%,26292,54.80%,-4.0pp,{2}{W},3,Artifact,{T}: Return another target permanent you control and all Auras you control attached to it to their owner's hand. Activate only during your turn.,,,['W'],['W'],[],mh3,uncommon
Expel the Unworthy,W,C,268630,6.24,31317,9.17,92963,49.30%,53.50%,15646,51.50%,19376,52.10%,35022,51.90%,57930,54.50%,-2.7pp,{1}{W},2,Sorcery,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Choose target creature with mana value 3 or less. If this spell was kicked, instead choose target creature. Exile the chosen creature, then its controller gains life equal to its mana value.",,,['W'],['W'],['Kicker'],mh3,common
Flare of Fortitude,W,R,40648,5.5,4477,8.6,4331,16.00%,52.90%,626,51.40%,880,51.40%,1506,51.40%,2827,53.70%,-2.3pp,{2}{W}{W},4,Instant,"You may sacrifice a nontoken white creature rather than pay this spell's mana cost.
Until end of turn, your life total can't change, and permanents you control gain hexproof and indestructible.",,,['W'],['W'],[],mh3,rare
Glyph Elemental,W,U,48080,2.79,18171,3.08,102431,91.40%,57.00%,18589,62.10%,20755,54.80%,39344,58.20%,62683,56.30%,1.9pp,{1}{W},2,Enchantment Creature — Elemental,"Bestow {1}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Glyph Elemental.
Enchanted creature gets +1/+1 for each +1/+1 counter on Glyph Elemental.",2,2,['W'],['W'],"['Bestow', 'Landfall']",mh3,uncommon
Guardian of the Forgotten,W,U,89741,5.28,13617,7.19,53881,65.40%,54.40%,8689,53.70%,11122,53.70%,19811,53.70%,34141,54.80%,-1.2pp,{3}{W},4,Creature — Elephant Warrior,"Vigilance
Whenever a modified creature you control dies, manifest the top card of your library. (Equipment, Auras you control, and counters are modifications. To manifest a card, put the top card of your library onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)",4,4,['W'],['W'],"['Vigilance', 'Manifest']",mh3,uncommon
Guide of Souls,W,R,11488,1.68,7750,1.65,46979,93.80%,60.40%,8566,71.70%,9796,63.30%,18362,67.20%,28367,55.90%,11.4pp,{W},1,Creature — Human Cleric,"Whenever another creature enters the battlefield under your control, you gain 1 life and get {E} (an energy counter).
Whenever you attack, you may pay {E}{E}{E}. When you do, put two +1/+1 counters and a flying counter on target attacking creature. It becomes an Angel in addition to its other types.",1,2,['W'],['W'],[],mh3,rare
Hexgold Slith,W,C,228833,5.03,44186,6.52,233016,85.60%,56.90%,41955,58.40%,44572,53.30%,86527,55.80%,146532,57.50%,-1.7pp,{1}{W},2,Creature — Slith,"When Hexgold Slith enters the battlefield, you get {E}{E} (two energy counters).
Whenever Hexgold Slith attacks, you may pay {E}{E}. If you do, it gains first strike until end of turn.
Whenever Hexgold Slith deals combat damage to a player, put a +1/+1 counter on it.",2,1,['W'],['W'],[],mh3,common
Indebted Spirit,W,U,95514,5.58,14822,7.53,58537,65.20%,55.40%,10341,55.50%,11275,52.80%,21616,54.10%,36571,56.20%,-2.1pp,{W},1,Enchantment Creature — Spirit,"Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Afterlife 1 (When this permanent is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying.)
Enchanted creature gets +1/+1 and has afterlife 1.",1,1,['W'],['W'],"['Afterlife', 'Bestow']",mh3,uncommon
Inspired Inventor,W,C,253813,5.63,41720,7.7,197129,77.80%,55.70%,33721,54.70%,38549,53.90%,72270,54.30%,124699,56.50%,-2.2pp,{2}{W},3,Creature — Human Artificer,"When Inspired Inventor enters the battlefield, choose one —
• You get {E}{E}{E} (three energy counters).
• Put a +1/+1 counter on target creature.
• Create a 1/1 colorless Servo artifact creature token.",2,2,['W'],['W'],[],mh3,common
Jolted Awake,W,C,294732,7.44,40622,10.42,92084,37.10%,56.40%,14701,54.70%,18533,55.30%,33234,55.00%,58853,57.20%,-2.2pp,{W},1,Sorcery,"Choose up to one target artifact or creature card in your graveyard. You get {E}{E} (two energy counters). Then you may pay an amount of {E} equal to that card's mana value. If you do, return it from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,['W'],['W'],['Cycling'],mh3,common
Mandibular Kite,W,C,260167,5.95,49530,7.59,233269,75.80%,57.90%,41406,60.40%,44593,55.90%,85999,58.10%,146106,57.80%,0.3pp,{W},1,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1 and has flying.
Equip {3}{W}",,,['W'],['W'],"['Equip', 'Living weapon']",mh3,common
Metastatic Evangel,W,U,60422,3.49,17733,4.02,98410,90.30%,56.40%,17743,58.10%,19409,54.80%,37152,56.40%,61162,56.50%,-0.1pp,{1}{W},2,Creature — Phyrexian Human Cleric,"Whenever another nontoken creature enters the battlefield under your control, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",3,1,['W'],['W'],['Proliferate'],mh3,uncommon
Muster the Departed,W,U,101917,6.34,12874,9.09,26291,34.30%,52.90%,4528,52.70%,5500,51.50%,10028,52.00%,16087,53.40%,-1.3pp,{2}{W},3,Enchantment,"When Muster the Departed enters the battlefield, create a 1/1 white Spirit creature token with flying.
Morbid — At the beginning of your end step, if a creature died this turn, populate. (Create a token that's a copy of a creature token you control.)",,,['W'],['W'],"['Populate', 'Morbid']",mh3,uncommon
Nyxborn Unicorn,W,C,261731,5.92,42442,8.02,193880,74.50%,56.30%,34193,55.50%,37597,54.00%,71790,54.70%,121136,57.30%,-2.6pp,{1}{W},2,Enchantment Creature — Unicorn,"Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
Enchanted creature gets +2/+2 and has mentor.",2,2,['W'],['W'],"['Mentor', 'Bestow']",mh3,common
Ocelot Pride,W,M,5622,1.67,3520,1.64,19870,89.70%,59.10%,3708,72.00%,3968,58.90%,7676,65.20%,12076,55.20%,10.0pp,{W},1,Creature — Cat,"First strike, lifelink
Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
At the beginning of your end step, if you gained life this turn, create a 1/1 white Cat creature token. Then if you have the city's blessing, for each token you control that entered the battlefield this turn, create a token that's a copy of it.",1,1,['W'],['W'],"['Lifelink', 'Ascend', 'First strike']",mh3,mythic
"Pearl-Ear, Imperial Advisor",W,R,23829,3.38,6014,3.82,29289,79.70%,55.70%,4990,56.60%,5915,54.20%,10905,55.30%,18462,55.80%,-0.6pp,{1}{W}{W},3,Legendary Creature — Fox Advisor,"Lifelink
Enchantment spells you cast have affinity for Auras. (They cost {1} less to cast for each Aura you control.)
Whenever you cast an Aura spell that targets a modified permanent you control, draw a card. (Equipment, Auras you control, and counters are modifications.)",3,4,['W'],['W'],['Lifelink'],mh3,rare
"Phelia, Exuberant Shepherd",W,R,13503,1.96,7428,1.96,42121,91.80%,57.40%,7706,63.30%,8596,56.90%,16302,59.90%,25665,55.80%,4.2pp,{1}{W},2,Legendary Creature — Dog,"Flash
Whenever Phelia, Exuberant Shepherd attacks, exile up to one other target nonland permanent. At the beginning of the next end step, return that card to the battlefield under its owner's control. If it entered under your control, put a +1/+1 counter on Phelia.",2,2,['W'],['W'],['Flash'],mh3,rare
Proud Pack-Rhino,W,U,76021,4.25,17277,5.28,92489,87.10%,56.80%,15526,57.80%,18460,55.40%,33986,56.50%,58523,57.00%,-0.5pp,{2}{W},3,Creature — Rhino,"When Proud Pack-Rhino enters the battlefield, choose one —
• Put a shield counter on target permanent. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",3,3,['W'],['W'],['Proliferate'],mh3,uncommon
Rosecot Knight,W,C,303224,7.88,37281,11.27,57220,25.40%,54.20%,8833,52.00%,11892,53.30%,20725,52.70%,36511,55.00%,-2.3pp,{4}{W},5,Creature — Human Knight,"Vigilance
When Rosecot Knight enters the battlefield, look at the top six cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, put a +1/+1 counter on Rosecot Knight.",3,4,['W'],['W'],['Vigilance'],mh3,common
Solstice Zealot,W,C,274778,6.5,44986,8.74,188263,67.80%,57.40%,31730,56.80%,37000,56.10%,68730,56.40%,119591,58.00%,-1.6pp,{2}{W},3,Creature — Rhino Cleric,"When Solstice Zealot enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}: Tap target creature.",2,3,['W'],['W'],[],mh3,common
Static Prison,W,U,80082,4.68,19489,5.47,95741,79.20%,57.90%,15695,57.40%,19630,59.70%,35325,58.70%,59962,57.40%,1.3pp,{W},1,Enchantment,"When Static Prison enters the battlefield, exile target nonland permanent an opponent controls until Static Prison leaves the battlefield. You get {E}{E} (two energy counters).
At the beginning of your precombat main phase, sacrifice Static Prison unless you pay {E}.",,,['W'],['W'],[],mh3,uncommon
Thraben Charm,W,C,253757,5.66,46031,7.51,220163,77.50%,57.00%,35570,56.40%,43830,57.50%,79400,57.00%,140644,57.00%,0.0pp,{1}{W},2,Instant,"Choose one —
• Thraben Charm deals damage equal to twice the number of creatures you control to target creature.
• Destroy target enchantment.
• Exile any number of target players' graveyards.",,,['W'],['W'],[],mh3,common
Voltstorm Angel,W,U,62482,3.63,16079,4.28,84814,86.10%,56.40%,13029,55.60%,17443,57.50%,30472,56.70%,54508,56.20%,0.5pp,{3}{W}{W},5,Creature — Angel,"Flying
When Voltstorm Angel enters the battlefield, you get {E}{E}{E} (three energy counters).
At the beginning of combat on your turn, you may pay {E}{E}. When you do, choose one —
• Voltstorm Angel gains vigilance and lifelink until end of turn.
• Other creatures you control get +1/+1 until end of turn.",4,4,['W'],['W'],['Flying'],mh3,uncommon
White Orchid Phantom,W,R,30082,3.97,5319,5.16,22981,71.20%,55.90%,4019,53.80%,4570,52.60%,8589,53.20%,14399,57.50%,-4.3pp,{W}{W},2,Creature — Spirit Knight,"Flying, first strike
When White Orchid Phantom enters the battlefield, destroy up to one target nonbasic land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",2,2,['W'],['W'],"['Flying', 'First strike']",mh3,rare
Wing It,W,C,296123,7.47,40258,10.49,102406,41.70%,55.90%,15705,53.90%,19287,55.00%,34992,54.50%,67411,56.60%,-2.1pp,{1}{W},2,Instant,Target creature gets +2/+2 until end of turn. Put a flying counter on it. Scry 1.,,,['W'],['W'],['Scry'],mh3,common
Wrath of the Skies,W,R,18771,2.76,6830,2.81,30753,75.70%,54.10%,5051,54.90%,7093,55.90%,12144,55.50%,18630,53.30%,2.2pp,{X}{W}{W},2,Sorcery,"You get X {E} (energy counters), then you may pay any amount of {E}. Destroy each artifact, creature, and enchantment with mana value less than or equal to the amount of {E} paid this way.",,,['W'],['W'],[],mh3,rare
Aether Spike,U,C,272665,6.29,42150,8.69,152779,61.00%,54.10%,26401,55.50%,40202,56.30%,66603,56.00%,86253,52.60%,3.3pp,{1}{U},2,Instant,"Choose target spell. You get {E}{E} (two energy counters), then you may pay any amount of {E}. Counter that spell unless its controller pays {1} for each {E} paid this way.",,,['U'],['U'],[],mh3,common
Amphibian Downpour,U,R,24431,3.28,5858,3.85,28457,83.00%,53.30%,4712,51.30%,7499,57.20%,12211,54.90%,16073,52.10%,2.9pp,{2}{U},3,Enchantment — Aura,"Flash
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies. Copies become tokens.)
Enchant creature
Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1.",,,['U'],['U'],"['Storm', 'Enchant', 'Flash']",mh3,rare
Bespoke Battlewagon,U,U,87530,5.15,15813,6.63,58836,63.00%,53.20%,9891,52.10%,15557,56.00%,25448,54.50%,33524,52.20%,2.3pp,{3}{U},4,Artifact — Vehicle,"{T}: You get {E}{E} (two energy counters).
{T}, Pay {E}{E}: Tap target creature.
{T}, Pay {E}{E}{E}: Draw a card.
Pay {E}{E}{E}{E}: Bespoke Battlewagon becomes an artifact creature until end of turn.
Crew 4",5,6,['U'],['U'],['Crew'],mh3,uncommon
Brainsurge,U,U,93030,5.34,16076,7.07,68589,70.70%,55.40%,11749,55.10%,19656,60.00%,31405,58.20%,37286,53.10%,5.1pp,{2}{U},3,Instant,"Draw four cards, then put two cards from your hand on top of your library in any order.",,,['U'],['U'],[],mh3,uncommon
Consign to Memory,U,U,116419,7.64,13592,11.11,12640,15.60%,50.80%,2051,48.60%,3419,52.30%,5470,50.90%,7183,50.70%,0.2pp,{U},1,Instant,"Replicate {1} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Counter target triggered ability or colorless spell.",,,['U'],['U'],['Replicate'],mh3,uncommon
Copycrook,U,U,88092,5.03,13607,6.85,52467,66.60%,51.40%,8090,49.40%,14802,54.70%,22892,52.80%,29573,50.20%,2.6pp,{2}{U}{U},4,Creature — Shapeshifter Rogue,"You may have Copycrook enter the battlefield as a copy of any creature on the battlefield, except it has ""Whenever this creature attacks, it connives."" (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",0,0,['U'],['U'],['Connive'],mh3,uncommon
Corrupted Shapeshifter,U,C,281151,6.69,28579,10.23,60115,36.30%,49.10%,9611,46.20%,15627,50.70%,25238,49.00%,34536,49.00%,-0.1pp,{3}{U},4,Creature — Eldrazi Shapeshifter,"Devoid (This card has no color.)
As Corrupted Shapeshifter enters the battlefield, it becomes your choice of a 3/3 creature with flying, a 2/5 creature with vigilance, or a 0/12 creature with defender.",*,*,[],['U'],['Devoid'],mh3,common
Deem Inferior,U,C,275860,6.27,51872,8.28,224615,71.40%,55.90%,36447,54.60%,63514,60.10%,99961,58.10%,124917,54.20%,3.9pp,{3}{U},4,Sorcery,"This spell costs {1} less to cast for each card you've drawn this turn.
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",,,['U'],['U'],[],mh3,common
Depth Defiler,U,U,55811,3.18,18958,3.58,100765,87.80%,55.90%,16081,56.30%,28053,61.50%,44134,59.60%,55758,52.90%,6.6pp,{3}{U}{U},5,Creature — Eldrazi,"Devoid (This card has no color.)
Kicker {C} (You may pay an additional {C} as you cast this spell.)
When you cast this spell, choose one. If it was kicked, choose both instead.
• Return target creature to its owner's hand.
• Target player draws two cards, then discards a card.",3,5,[],['U'],"['Devoid', 'Kicker']",mh3,uncommon
Dreamtide Whale,U,R,25866,3.59,6083,4.18,26821,74.50%,53.20%,4711,52.30%,7203,56.60%,11914,54.90%,14996,51.80%,3.1pp,{2}{U},3,Creature — Whale,"Vanishing 2 (This creature enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
Whenever a player casts their second spell each turn, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",7,5,['U'],['U'],"['Vanishing', 'Proliferate']",mh3,rare
Electrozoa,U,C,295768,7.53,39488,10.6,83458,35.60%,53.00%,14152,51.40%,20817,54.90%,34969,53.50%,48544,52.60%,0.9pp,{2}{U},3,Creature — Jellyfish,"Flash
Flying
When Electrozoa enters the battlefield, you get {E}{E} (two energy counters).
At the beginning of your precombat main phase, tap Electrozoa unless you pay {E}.",3,1,['U'],['U'],"['Flying', 'Flash']",mh3,common
Emrakul's Messenger,U,U,65073,3.66,16515,4.39,83774,85.30%,54.40%,14877,56.40%,23051,56.50%,37928,56.40%,45657,52.70%,3.7pp,{1}{U},2,Creature — Eldrazi Faerie Rogue,"Devoid (This card has no color.)
Flying
Whenever you draw your second card each turn, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",2,1,[],['U'],"['Flying', 'Devoid']",mh3,uncommon
Flare of Denial,U,R,33155,4.36,5047,6,16833,56.30%,53.70%,2672,52.40%,4883,57.00%,7555,55.30%,9282,52.30%,3.1pp,{1}{U}{U},3,Instant,"You may sacrifice a nontoken blue creature rather than pay this spell's mana cost.
Counter target spell.",,,['U'],['U'],[],mh3,rare
Harbinger of the Seas,U,R,46111,6.19,5125,9.66,626,2.00%,43.00%,98,,166,,264,,366,,,{1}{U}{U},3,Creature — Merfolk Wizard,Nonbasic lands are Islands.,2,2,['U'],['U'],[],mh3,rare
Hope-Ender Coatl,U,U,64503,3.55,15994,4.33,83714,86.90%,55.10%,14516,57.20%,22210,57.50%,36726,57.40%,46699,53.30%,4.1pp,{2}{U},3,Creature — Eldrazi Snake,"Devoid (This card has no color.)
Flash
When you cast this spell, counter target spell an opponent controls unless they pay {1}.
Flying",2,2,[],['U'],"['Flying', 'Devoid', 'Flash']",mh3,uncommon
