name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Bounding Felidar,{5}{W},6.0,Creature — Cat Beast Mount,"Whenever Bounding Felidar attacks while saddled, put a +1/+1 counter on each other creature you control. You gain 1 life for each of those creatures.
Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",4,7,['W'],['W'],['Saddle'],otj,uncommon
Bovine Intervention,{1}{W},2.0,Instant,Destroy target artifact or creature. Its controller creates a 2/2 white Ox creature token.,n/a,n/a,['W'],['W'],[],otj,uncommon
"Breeches, the Blastmaker",{1}{U}{R},3.0,Legendary Creature — Goblin Pirate,"Menace
Whenever you cast your second spell each turn, you may sacrifice an artifact. If you do, flip a coin. When you win the flip, copy that spell. You may choose new targets for the copy. When you lose the flip, Breeches, the Blastmaker deals damage equal to that spell's mana value to any target.",3,3,"['R', 'U']","['R', 'U']",['Menace'],otj,rare
Bridled Bighorn,{3}{W},4.0,Creature — Sheep Mount,"Vigilance
Whenever Bridled Bighorn attacks while saddled, create a 1/1 white Sheep creature token.
Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",3,4,['W'],['W'],"['Saddle', 'Vigilance']",otj,common
Brimstone Roundup,{1}{R},2.0,Enchantment,"Whenever you cast your second spell each turn, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Plot {2}{R} (You may pay {2}{R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",n/a,n/a,['R'],['R'],['Plot'],otj,uncommon
Bristlepack Sentry,{1}{G},2.0,Creature — Plant Wolf,"Defender
As long as you control a creature with power 4 or greater, Bristlepack Sentry can attack as though it didn't have defender.",3,3,['G'],['G'],['Defender'],otj,common
Bristling Backwoods,,0.0,Land — Desert,"Bristling Backwoods enters the battlefield tapped.
When Bristling Backwoods enters the battlefield, it deals 1 damage to target opponent.
{T}: Add {R} or {G}.",n/a,n/a,[],"['G', 'R']",[],otj,common
"Bristly Bill, Spine Sower",{1}{G},2.0,Legendary Creature — Plant Druid,"Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on target creature.
{3}{G}{G}: Double the number of +1/+1 counters on each creature you control.",2,2,['G'],['G'],['Landfall'],otj,mythic
"Bruse Tarl, Roving Rancher",{2}{R}{W},4.0,Legendary Creature — Human Warrior,"Oxen you control have double strike.
Whenever Bruse Tarl, Roving Rancher enters the battlefield or attacks, exile the top card of your library. If it's a land card, create a 2/2 white Ox creature token. Otherwise, you may cast it until the end of your next turn.",4,3,"['R', 'W']","['R', 'W']",[],otj,rare
Bucolic Ranch,,0.0,Land — Desert,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a Mount spell.
{3}, {T}: Look at the top card of your library. If it's a Mount card, you may reveal it and put it into your hand. If you don't put it into your hand, you may put it on the bottom of your library.",n/a,n/a,[],[],[],otj,uncommon
Cactarantula,{4}{G}{G},6.0,Creature — Plant Spider,"This spell costs {1} less to cast if you control a Desert.
Reach
Whenever Cactarantula becomes the target of a spell or ability an opponent controls, you may draw a card.",6,5,['G'],['G'],['Reach'],otj,common
Cactusfolk Sureshot,{2}{R}{G},4.0,Creature — Plant Mercenary,"Reach
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
At the beginning of combat on your turn, other creatures you control with power 4 or greater gain trample and haste until end of turn.",4,4,"['G', 'R']","['G', 'R']","['Reach', 'Ward']",otj,uncommon
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity, Galloping Inferno attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",4,6,['R'],['R'],"['Saddle', 'Haste']",otj,rare
Canyon Crab,{1}{U},2.0,Creature — Crab,"{1}{U}: Canyon Crab gets +2/-2 until end of turn.
At the beginning of your end step, if you haven't cast a spell from your hand this turn, draw a card, then discard a card.",0,5,['U'],['U'],[],otj,uncommon
Caught in the Crossfire,{R}{R},2.0,Instant,"Spree (Choose one or more additional costs.)
+ {1} — Caught in the Crossfire deals 2 damage to each outlaw creature. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)
+ {1} — Caught in the Crossfire deals 2 damage to each non-outlaw creature.",n/a,n/a,['R'],['R'],['Spree'],otj,uncommon
Caustic Bronco,{1}{B},2.0,Creature — Snake Horse Mount,"Whenever Caustic Bronco attacks, reveal the top card of your library and put it into your hand. You lose life equal to that card's mana value if Caustic Bronco isn't saddled. Otherwise, each opponent loses that much life.
Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",2,2,['B'],['B'],['Saddle'],otj,rare
Claim Jumper,{2}{W},3.0,Creature — Rabbit Mercenary,"Vigilance
When Claim Jumper enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card and put it onto the battlefield tapped. Then if an opponent controls more lands than you, repeat this process once. If you search your library this way, shuffle.",3,3,['W'],['W'],['Vigilance'],otj,rare
Colossal Rattlewurm,{2}{G}{G},4.0,Creature — Wurm,"Colossal Rattlewurm has flash as long as you control a Desert.
Trample
{1}{G}, Exile Colossal Rattlewurm from your graveyard: Search your library for a Desert card, put it onto the battlefield tapped, then shuffle.",6,5,['G'],['G'],['Trample'],otj,rare
Concealed Courtyard,,0.0,Land,"Concealed Courtyard enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {B}.",n/a,n/a,[],"['B', 'W']",[],otj,rare
Conduit Pylons,,0.0,Land — Desert,"When Conduit Pylons enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",n/a,n/a,[],[],['Surveil'],otj,common
Congregation Gryff,{1}{G}{W},3.0,Creature — Hippogriff Mount,"Flying, lifelink
Whenever Congregation Gryff attacks while saddled, it gets +X/+X until end of turn, where X is the number of Mounts you control.
Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",1,4,"['G', 'W']","['G', 'W']","['Flying', 'Lifelink', 'Saddle']",otj,uncommon
Consuming Ashes,{2}{B}{B},4.0,Instant,"Exile target creature. If it had mana value 3 or less, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",n/a,n/a,['B'],['B'],['Surveil'],otj,common
Corrupted Conviction,{B},1.0,Instant,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.",n/a,n/a,['B'],['B'],[],otj,common
Creosote Heath,,0.0,Land — Desert,"Creosote Heath enters the battlefield tapped.
When Creosote Heath enters the battlefield, it deals 1 damage to target opponent.
{T}: Add {G} or {W}.",n/a,n/a,[],"['G', 'W']",[],otj,common
Cunning Coyote,{1}{R},2.0,Creature — Coyote,"Haste
When Cunning Coyote enters the battlefield, another target creature you control gets +1/+1 and gains haste until end of turn.
Plot {1}{R} (You may pay {1}{R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",2,2,['R'],['R'],"['Plot', 'Haste']",otj,uncommon
Dance of the Tumbleweeds,{1}{G},2.0,Sorcery,"Spree (Choose one or more additional costs.)
+ {1} — Search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle.
+ {3} — Create an X/X green Elemental creature token, where X is the number of lands you control.",n/a,n/a,['G'],['G'],['Spree'],otj,common
Daring Thunder-Thief,{3}{U},4.0,Creature — Turtle Rogue,"Flash
Daring Thunder-Thief enters the battlefield tapped.",4,4,['U'],['U'],['Flash'],otj,common
Deadeye Duelist,{1}{R},2.0,Creature — Human Assassin,"Reach
{1}, {T}: Deadeye Duelist deals 1 damage to target opponent.",1,3,['R'],['R'],['Reach'],otj,common
Deepmuck Desperado,{2}{U},3.0,Creature — Homarid Mercenary,"Whenever you commit a crime, each opponent mills three cards. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",2,4,['U'],['U'],['Mill'],otj,uncommon
Demonic Ruckus,{1}{R},2.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 and has menace and trample.
When Demonic Ruckus is put into a graveyard from the battlefield, draw a card.
Plot {R} (You may pay {R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",n/a,n/a,['R'],['R'],"['Plot', 'Enchant']",otj,uncommon
Desert's Due,{1}{B},2.0,Instant,Target creature gets -2/-2 until end of turn. It gets an additional -1/-1 until end of turn for each Desert you control.,n/a,n/a,['B'],['B'],[],otj,common
Desperate Bloodseeker,{1}{B},2.0,Creature — Vampire,"Lifelink
When Desperate Bloodseeker enters the battlefield, target player mills two cards. (They put the top two cards of their library into their graveyard.)",2,2,['B'],['B'],"['Lifelink', 'Mill']",otj,common
Discerning Peddler,{1}{R},2.0,Creature — Human Rogue,"When Discerning Peddler enters the battlefield, you may discard a card. If you do, draw a card.",2,2,['R'],['R'],[],otj,common
Djinn of Fool's Fall,{4}{U},5.0,Creature — Djinn,"Flying
Plot {3}{U} (You may pay {3}{U} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",4,3,['U'],['U'],"['Flying', 'Plot']",otj,common
"Doc Aurlock, Grizzled Genius",{G}{U},2.0,Legendary Creature — Bear Druid,"Spells you cast from your graveyard or from exile cost {2} less to cast.
Plotting cards from your hand costs {2} less.",2,3,"['G', 'U']","['G', 'U']",[],otj,uncommon
Double Down,{3}{U},4.0,Enchantment,"Whenever you cast an outlaw spell, copy that spell. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws. Copies of permanent spells become tokens.)",n/a,n/a,['U'],['U'],[],otj,mythic
Drover Grizzly,{2}{G},3.0,Creature — Bear Mount,"Whenever Drover Grizzly attacks while saddled, creatures you control gain trample until end of turn.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",4,2,['G'],['G'],['Saddle'],otj,common
Duelist of the Mind,{1}{U},2.0,Creature — Human Advisor,"Flying, vigilance
Duelist of the Mind's power is equal to the number of cards you've drawn this turn.
Whenever you commit a crime, you may draw a card. If you do, discard a card. This ability triggers only once each turn.",*,3,['U'],['U'],"['Flying', 'Vigilance']",otj,rare
Dust Animus,{1}{W},2.0,Creature — Spirit,"Flying
If you control five or more untapped lands, Dust Animus enters the battlefield with two +1/+1 counters and a lifelink counter on it.
Plot {1}{W} (You may pay {1}{W} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",2,3,['W'],['W'],"['Flying', 'Plot']",otj,rare
Emergent Haunting,{1}{U},2.0,Enchantment,"At the beginning of your end step, if you haven't cast a spell from your hand this turn and Emergent Haunting isn't a creature, it becomes a 3/3 Spirit creature with flying in addition to its other types.
{2}{U}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",n/a,n/a,['U'],['U'],['Surveil'],otj,uncommon
Eriette's Lullaby,{1}{W},2.0,Sorcery,Destroy target tapped creature. You gain 2 life.,n/a,n/a,['W'],['W'],[],otj,common
"Eriette, the Beguiler",{1}{W}{U}{B},4.0,Legendary Creature — Human Warlock,"Lifelink
Whenever an Aura you control becomes attached to a nonland permanent an opponent controls with mana value less than or equal to that Aura's mana value, gain control of that permanent for as long as that Aura is attached to it.",4,4,"['B', 'U', 'W']","['B', 'U', 'W']",['Lifelink'],otj,rare
Eroded Canyon,,0.0,Land — Desert,"Eroded Canyon enters the battlefield tapped.
When Eroded Canyon enters the battlefield, it deals 1 damage to target opponent.
{T}: Add {U} or {R}.",n/a,n/a,[],"['R', 'U']",[],otj,common
"Ertha Jo, Frontier Mentor",{2}{R}{W},4.0,Legendary Creature — Kor Advisor,"When Ertha Jo, Frontier Mentor enters the battlefield, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Whenever you activate an ability that targets a creature or player, copy that ability. You may choose new targets for the copy.",2,4,"['R', 'W']","['R', 'W']",[],otj,uncommon
Explosive Derailment,{R},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {2} — Explosive Derailment deals 4 damage to target creature.
+ {2} — Destroy target artifact.",n/a,n/a,['R'],['R'],['Spree'],otj,common
Failed Fording,{1}{U},2.0,Instant,"Return target nonland permanent to its owner's hand. If you control a Desert, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",n/a,n/a,['U'],['U'],['Surveil'],otj,common
Fake Your Own Death,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",n/a,n/a,['B'],['B'],['Treasure'],otj,common
"Fblthp, Lost on the Range",{1}{U}{U},3.0,Legendary Creature — Homunculus,"Ward {2}
You may look at the top card of your library any time.
The top card of your library has plot. The plot cost is equal to its mana cost.
You may plot nonland cards from the top of your library.",1,1,['U'],['U'],"['Plot', 'Ward']",otj,rare
Ferocification,{2}{R},3.0,Enchantment,"At the beginning of combat on your turn, choose one —
• Target creature you control gets +2/+0 until end of turn.
• Target creature you control gains menace and haste until end of turn.",n/a,n/a,['R'],['R'],[],otj,uncommon
Festering Gulch,,0.0,Land — Desert,"Festering Gulch enters the battlefield tapped.
When Festering Gulch enters the battlefield, it deals 1 damage to target opponent.
{T}: Add {B} or {G}.",n/a,n/a,[],"['B', 'G']",[],otj,common
Final Showdown,{W},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {1} — All creatures lose all abilities until end of turn.
+ {1} — Choose a creature you control. It gains indestructible until end of turn.
+ {3}{W}{W} — Destroy all creatures.",n/a,n/a,['W'],['W'],['Spree'],otj,mythic
Fleeting Reflection,{1}{U},2.0,Instant,"Target creature you control gains hexproof until end of turn. Untap that creature. Until end of turn, it becomes a copy of up to one other target creature.",n/a,n/a,['U'],['U'],[],otj,uncommon
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),n/a,n/a,[],['G'],[],otj,common
Forlorn Flats,,0.0,Land — Desert,"Forlorn Flats enters the battlefield tapped.
When Forlorn Flats enters the battlefield, it deals 1 damage to target opponent.
{T}: Add {W} or {B}.",n/a,n/a,[],"['B', 'W']",[],otj,common
Form a Posse,{X}{R}{W},2.0,Sorcery,"Create X 1/1 red Mercenary creature tokens with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",n/a,n/a,"['R', 'W']","['R', 'W']",[],otj,uncommon
Forsaken Miner,{B},1.0,Creature — Skeleton Rogue,"Forsaken Miner can't block.
Whenever you commit a crime, you may pay {B}. If you do, return Forsaken Miner from your graveyard to the battlefield. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",2,2,['B'],['B'],[],otj,uncommon
"Fortune, Loyal Steed",{2}{W},3.0,Legendary Creature — Beast Mount,"When Fortune, Loyal Steed enters the battlefield, scry 2.
Whenever Fortune attacks while saddled, at end of combat, exile it and up to one creature that saddled it this turn, then return those cards to the battlefield under their owner's control.
Saddle 1",2,4,['W'],['W'],"['Saddle', 'Scry']",otj,rare
Freestrider Commando,{2}{G},3.0,Creature — Centaur Mercenary,"Freestrider Commando enters the battlefield with two +1/+1 counters on it if it wasn't cast or no mana was spent to cast it.
Plot {3}{G} (You may pay {3}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",3,3,['G'],['G'],['Plot'],otj,common
Freestrider Lookout,{2}{G},3.0,Creature — Human Rogue,"Reach
Whenever you commit a crime, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",3,3,['G'],['G'],['Reach'],otj,rare
Frontier Seeker,{1}{W},2.0,Creature — Human Scout,"When Frontier Seeker enters the battlefield, look at the top five cards of your library. You may reveal a Mount creature card or a Plains card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2,1,['W'],['W'],[],otj,uncommon
Full Steam Ahead,{3}{G}{G},5.0,Sorcery,"Until end of turn, each creature you control gets +2/+2 and gains trample and ""This creature can't be blocked by more than one creature.""",n/a,n/a,['G'],['G'],[],otj,uncommon
"Geralf, the Fleshwright",{2}{U},3.0,Legendary Creature — Human Warlock,"Whenever you cast a spell during your turn other than your first spell that turn, create a 2/2 blue and black Zombie Rogue creature token.
Whenever a Zombie enters the battlefield under your control, put a +1/+1 counter on it for each other Zombie that entered the battlefield under your control this turn.",2,3,['U'],['U'],[],otj,mythic
Getaway Glamer,{W},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {1} — Exile target nontoken creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
+ {2} — Destroy target creature if no other creature has greater power.",n/a,n/a,['W'],['W'],['Spree'],otj,uncommon
Geyser Drake,{2}{U},3.0,Creature — Drake,"Flying
As long as it's not your turn, spells you cast cost {1} less to cast.",2,3,['U'],['U'],['Flying'],otj,common
"Ghired, Mirror of the Wilds",{R}{G}{W},3.0,Legendary Creature — Human Shaman,"Haste
Nontoken creatures you control have ""{T}: Create a token that's a copy of target token you control that entered the battlefield this turn.""",3,3,"['G', 'R', 'W']","['G', 'R', 'W']",['Haste'],otj,mythic
Giant Beaver,{3}{G},4.0,Creature — Beaver Mount,"Vigilance
Whenever Giant Beaver attacks while saddled, put a +1/+1 counter on target creature that saddled it this turn.
Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",4,4,['G'],['G'],"['Saddle', 'Vigilance']",otj,common
Gila Courser,{2}{R},3.0,Creature — Lizard Mount,"Whenever Gila Courser attacks while saddled, exile the top card of your library. Until the end of your next turn, you may play that card.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",4,2,['R'],['R'],['Saddle'],otj,uncommon
"Gisa, the Hellraiser",{3}{B}{B},5.0,Legendary Creature — Human Warlock,"Ward—{2}, Pay 2 life.
Skeletons and Zombies you control get +1/+1 and have menace.
Whenever you commit a crime, create two tapped 2/2 blue and black Zombie Rogue creature tokens. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",4,4,['B'],['B'],['Ward'],otj,mythic
Gold Pan,{2},2.0,Artifact — Equipment,"When Gold Pan enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",n/a,n/a,[],[],"['Treasure', 'Equip']",otj,common
Gold Rush,{1}{G},2.0,Instant,"Create a Treasure token. Until end of turn, up to one target creature gets +2/+2 for each Treasure you control.",n/a,n/a,['G'],['G'],['Treasure'],otj,uncommon
Goldvein Hydra,{X}{G},1.0,Creature — Hydra,"Vigilance, trample, haste
Goldvein Hydra enters the battlefield with X +1/+1 counters on it.
When Goldvein Hydra dies, create a number of tapped Treasure tokens equal to its power.",0,0,['G'],['G'],"['Vigilance', 'Treasure', 'Haste', 'Trample']",otj,mythic
Great Train Heist,{R},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {2}{R} — Untap all creatures you control. If it's your combat phase, there is an additional combat phase after this phase.
+ {2} — Creatures you control get +1/+0 and gain first strike until end of turn.
+ {R} — Choose target opponent. Whenever a creature you control deals combat damage to that player this turn, create a tapped Treasure token.",n/a,n/a,['R'],['R'],"['Treasure', 'Spree']",otj,rare
