name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Arcbound Shikari,{1}{R}{W},3.0,Artifact Creature — Cat Soldier,"First strike
When Arcbound Shikari enters the battlefield, put a +1/+1 counter on each other artifact creature you control.
Modular 2 (This creature enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",0,0,"['R', 'W']","['R', 'W']","['First strike', 'Modular']",mh2,uncommon
Arcbound Slasher,{4}{R},5.0,Artifact Creature — Cat,"Modular 4 (This creature enters the battlefield with four +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)
Riot (This creature enters the battlefield with your choice of an additional +1/+1 counter or haste.)",0,0,['R'],['R'],"['Modular', 'Riot']",mh2,common
Arcbound Tracker,{2}{R},3.0,Artifact Creature — Dog,"Menace
Modular 2 (This creature enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)
Whenever you cast a spell other than your first spell each turn, put a +1/+1 counter on Arcbound Tracker.",0,0,['R'],['R'],"['Modular', 'Menace']",mh2,common
Arcbound Whelp,{3}{R},4.0,Artifact Creature — Dragon,"Flying
{R}: Arcbound Whelp gets +1/+0 until end of turn.
Modular 2 (This creature enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",0,0,['R'],['R'],"['Flying', 'Modular']",mh2,uncommon
Archfiend of Sorrows,{5}{B}{B},7.0,Creature — Demon,"Flying
When Archfiend of Sorrows enters the battlefield, creatures your opponents control get -2/-2 until end of turn.
Unearth {3}{B}{B} ({3}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",4,5,['B'],['B'],"['Flying', 'Unearth']",mh2,uncommon
Archon of Cruelty,{6}{B}{B},8.0,Creature — Archon,"Flying
Whenever Archon of Cruelty enters the battlefield or attacks, target opponent sacrifices a creature or planeswalker, discards a card, and loses 3 life. You draw a card and gain 3 life.",6,6,['B'],['B'],['Flying'],mh2,mythic
Arcus Acolyte,{G}{W},2.0,Creature — Human Cleric Archer,"Reach, lifelink
Outlast {G/W} ({G/W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each other creature you control without a +1/+1 counter on it has outlast {G/W}.",2,2,"['G', 'W']","['G', 'W']","['Lifelink', 'Reach', 'Outlast']",mh2,uncommon
Arid Mesa,,0.0,Land,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.",n/a,n/a,[],[],[],mh2,rare
Asmoranomardicadaistinaculdacar,,0.0,Legendary Creature — Human Wizard,"As long as you've discarded a card this turn, you may pay {B/R} to cast this spell.
When Asmoranomardicadaistinaculdacar enters the battlefield, you may search your library for a card named The Underworld Cookbook, reveal it, put it into your hand, then shuffle.
Sacrifice two Foods: Target creature deals 6 damage to itself.",3,3,"['B', 'R']","['B', 'R']",[],mh2,rare
A-Unholy Heat,{R},1.0,Instant,"Unholy Heat deals 2 damage to target creature or planeswalker.
Delirium — Unholy Heat deals 4 damage instead if there are four or more card types among cards in your graveyard.",n/a,n/a,['R'],['R'],['Delirium'],mh2,common
Bannerhide Krushok,{3}{G},4.0,Creature — Beast,"Trample
Reinforce 2—{1}{G} ({1}{G}, Discard this card: Put two +1/+1 counters on target creature.)
Scavenge {5}{G}{G} ({5}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",4,4,['G'],['G'],"['Scavenge', 'Trample', 'Reinforce']",mh2,common
Barbed Spike,{1}{W},2.0,Artifact — Equipment,"When Barbed Spike enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying, then attach Barbed Spike to it.
Equipped creature gets +1/+0.
Equip {2}",n/a,n/a,['W'],['W'],['Equip'],mh2,uncommon
Batterbone,{2},2.0,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1 and has vigilance and lifelink.
Equip {5}",n/a,n/a,[],[],"['Equip', 'Living weapon']",mh2,uncommon
Battle Plan,{3}{R},4.0,Enchantment,"At the beginning of combat on your turn, target creature you control gets +2/+0 until end of turn.
Basic landcycling {1}{R} ({1}{R}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",n/a,n/a,['R'],['R'],"['Landcycling', 'Basic landcycling', 'Typecycling', 'Cycling']",mh2,common
Blacksmith's Skill,{W},1.0,Instant,"Target permanent gains hexproof and indestructible until end of turn. If it's an artifact creature, it gets +2/+2 until end of turn.",n/a,n/a,['W'],['W'],[],mh2,common
Blazing Rootwalla,{R},1.0,Creature — Lizard,"{R}: Blazing Rootwalla gets +2/+0 until end of turn. Activate only once each turn.
Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",1,1,['R'],['R'],['Madness'],mh2,uncommon
Blessed Respite,{1}{G},2.0,Instant,Target player shuffles their graveyard into their library. Prevent all combat damage that would be dealt this turn.,n/a,n/a,['G'],['G'],[],mh2,uncommon
Bloodbraid Marauder,{1}{R},2.0,Creature — Human Berserker,"Bloodbraid Marauder can't block.
Delirium — This spell has cascade as long as there are four or more card types among cards in your graveyard. (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",3,1,['R'],['R'],['Delirium'],mh2,rare
Blossoming Calm,{W},1.0,Instant,"You gain hexproof until your next turn. You gain 2 life.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",n/a,n/a,['W'],['W'],['Rebound'],mh2,uncommon
Bone Shards,{B},1.0,Sorcery,"As an additional cost to cast this spell, sacrifice a creature or discard a card.
Destroy target creature or planeswalker.",n/a,n/a,['B'],['B'],[],mh2,common
Bone Shredder,{2}{B},3.0,Creature — Phyrexian Minion,"Flying
Echo {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.",1,1,['B'],['B'],"['Echo', 'Flying']",mh2,uncommon
Bottle Golems,{4},4.0,Artifact Creature — Golem,"Trample
When Bottle Golems dies, you gain life equal to its power.",3,3,[],[],['Trample'],mh2,common
"Braids, Cabal Minion",{2}{B}{B},4.0,Legendary Creature — Human Minion,"At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land.",2,2,['B'],['B'],[],mh2,rare
Brainstone,{1},1.0,Artifact,"{2}, {T}, Sacrifice Brainstone: Draw three cards, then put two cards from your hand on top of your library in any order.",n/a,n/a,[],[],[],mh2,uncommon
Break the Ice,{B}{B},2.0,Sorcery,"Destroy target land that is snow or could produce {C}.
Overload {4}{B}{B} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",n/a,n/a,['B'],['B'],['Overload'],mh2,uncommon
Break Ties,{2}{W},3.0,Instant,"Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Exile target card from a graveyard.
Reinforce 1—{W} ({W}, Discard this card: Put a +1/+1 counter on target creature.)",n/a,n/a,['W'],['W'],['Reinforce'],mh2,common
Breathless Knight,{1}{W}{B},3.0,Creature — Spirit Knight,"Flying, lifelink
Whenever Breathless Knight or another creature enters the battlefield under your control, if that creature entered from a graveyard or you cast it from a graveyard, put a +1/+1 counter on Breathless Knight.",2,2,"['B', 'W']","['B', 'W']","['Flying', 'Lifelink']",mh2,common
Breya's Apprentice,{2}{R},3.0,Artifact Creature — Human Artificer,"When Breya's Apprentice enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.
{T}, Sacrifice an artifact: Choose one —
• Exile the top card of your library. Until the end of your next turn, you may play that card.
• Target creature gets +2/+0 until end of turn.",2,3,['R'],['R'],[],mh2,rare
Burdened Aerialist,{2}{U},3.0,Creature — Human Pirate,"When Burdened Aerialist enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Whenever you sacrifice a token, Burdened Aerialist gains flying until end of turn.",3,1,['U'],['U'],['Treasure'],mh2,common
Cabal Coffers,,0.0,Land,"{2}, {T}: Add {B} for each Swamp you control.",n/a,n/a,[],['B'],[],mh2,mythic
Cabal Initiate,{1}{B},2.0,Creature — Human Warlock,"Discard a card: Cabal Initiate gains lifelink until end of turn.
Threshold — Cabal Initiate gets +1/+2 as long as seven or more cards are in your graveyard.",2,1,['B'],['B'],['Threshold'],mh2,common
Calibrated Blast,{2}{R},3.0,Instant,"Reveal cards from the top of your library until you reveal a nonland card. Put the revealed cards on the bottom of your library in a random order. When you reveal a nonland card this way, Calibrated Blast deals damage equal to that card's mana value to any target.
Flashback {3}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",n/a,n/a,['R'],['R'],['Flashback'],mh2,rare
Caprichrome,{3}{W},4.0,Artifact Creature — Goat,"Flash
Vigilance
Devour artifact 1 (As this enters the battlefield, you may sacrifice any number of artifacts. This creature enters the battlefield with that many +1/+1 counters on it.)",2,2,['W'],['W'],"['Vigilance', 'Flash', 'Devour']",mh2,uncommon
Captain Ripley Vance,{2}{R},3.0,Legendary Creature — Human Pirate,"Whenever you cast your third spell each turn, put a +1/+1 counter on Captain Ripley Vance, then it deals damage equal to its power to any target.",3,2,['R'],['R'],[],mh2,uncommon
Captured by Lagacs,{1}{G}{W},3.0,Enchantment — Aura,"Enchant creature
Enchanted creature can't attack or block.
When Captured by Lagacs enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two target creatures.)",n/a,n/a,"['G', 'W']","['G', 'W']","['Support', 'Enchant']",mh2,common
Carth the Lion,{2}{B}{G},4.0,Legendary Creature — Human Warrior,"Whenever Carth the Lion enters the battlefield or a planeswalker you control dies, look at the top seven cards of your library. You may reveal a planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Planeswalkers' loyalty abilities you activate cost an additional [+1] to activate.",3,5,"['B', 'G']","['B', 'G']",[],mh2,rare
"Chainer, Nightmare Adept",{2}{B}{R},4.0,Legendary Creature — Human Minion,"Discard a card: You may cast a creature spell from your graveyard this turn. Activate only once each turn.
Whenever a nontoken creature enters the battlefield under your control, if you didn't cast it from your hand, it gains haste until your next turn.",3,2,"['B', 'R']","['B', 'R']",[],mh2,rare
Chance Encounter,{2}{R}{R},4.0,Enchantment,"Whenever you win a coin flip, put a luck counter on Chance Encounter.
At the beginning of your upkeep, if Chance Encounter has ten or more luck counters on it, you win the game.",n/a,n/a,['R'],['R'],[],mh2,rare
"Chatterfang, Squirrel General",{2}{G},3.0,Legendary Creature — Squirrel Warrior,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
If one or more tokens would be created under your control, those tokens plus that many 1/1 green Squirrel creature tokens are created instead.
{B}, Sacrifice X Squirrels: Target creature gets +X/-X until end of turn.",3,3,['G'],"['B', 'G']","['Landwalk', 'Forestwalk']",mh2,mythic
Chatterstorm,{1}{G},2.0,Sorcery,"Create a 1/1 green Squirrel creature token.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",n/a,n/a,['G'],['G'],['Storm'],mh2,common
Chef's Kiss,{1}{R}{R},3.0,Instant,"Gain control of target spell that targets only a single permanent or player. Copy it, then reselect the targets at random for the spell and the copy. The new targets can't be you or a permanent you control.",n/a,n/a,['R'],['R'],[],mh2,rare
Chitterspitter,{2}{G},3.0,Artifact,"At the beginning of your upkeep, you may sacrifice a token. If you do, put an acorn counter on Chitterspitter.
Squirrels you control get +1/+1 for each acorn counter on Chitterspitter.
{G}, {T}: Create a 1/1 green Squirrel creature token.",n/a,n/a,['G'],['G'],[],mh2,rare
Chrome Courier,{1}{W}{U},3.0,Artifact Creature — Thopter,"Flying
When Chrome Courier enters the battlefield, reveal the top two cards of your library. Put one of them into your hand and the other into your graveyard. If you put an artifact card into your hand this way, you gain 3 life.",1,1,"['U', 'W']","['U', 'W']",['Flying'],mh2,common
Clattering Augur,{1}{B},2.0,Creature — Skeleton Shaman,"Clattering Augur can't block.
When Clattering Augur enters the battlefield, you draw a card and you lose 1 life.
{2}{B}{B}: Return Clattering Augur from your graveyard to your hand.",1,1,['B'],['B'],[],mh2,uncommon
Combine Chrysalis,{G}{U},2.0,Artifact,"Creature tokens you control have flying.
{2}{G}{U}, {T}, Sacrifice a token: Create a 4/4 green Beast creature token. Activate only as a sorcery.",n/a,n/a,"['G', 'U']","['G', 'U']",[],mh2,uncommon
Constable of the Realm,{4}{W},5.0,Creature — Giant Soldier,"Renown 2 (When this creature deals combat damage to a player, if it isn't renowned, put two +1/+1 counters on it and it becomes renowned.)
Whenever one or more +1/+1 counters are put on Constable of the Realm, exile up to one other target nonland permanent until Constable of the Realm leaves the battlefield.",3,3,['W'],['W'],['Renown'],mh2,uncommon
Counterspell,{U}{U},2.0,Instant,Counter target spell.,n/a,n/a,['U'],['U'],[],mh2,uncommon
Crack Open,{2}{G},3.0,Sorcery,"Destroy target artifact or enchantment. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",n/a,n/a,['G'],['G'],['Treasure'],mh2,common
Cursed Totem,{2},2.0,Artifact,Activated abilities of creatures can't be activated.,n/a,n/a,[],[],[],mh2,rare
"Dakkon, Shadow Slayer",{W}{U}{B},3.0,Legendary Planeswalker — Dakkon,"Dakkon, Shadow Slayer enters the battlefield with a number of loyalty counters on him equal to the number of lands you control.
+1: Surveil 2.
−3: Exile target creature.
−6: You may put an artifact card from your hand or graveyard onto the battlefield.",n/a,n/a,"['B', 'U', 'W']","['B', 'U', 'W']",['Surveil'],mh2,mythic
Damn,{B}{B},2.0,Sorcery,"Destroy target creature. A creature destroyed this way can't be regenerated.
Overload {2}{W}{W} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",n/a,n/a,['B'],"['B', 'W']",['Overload'],mh2,rare
Darkmoss Bridge,,0.0,Artifact Land,"Darkmoss Bridge enters the battlefield tapped.
Indestructible
{T}: Add {B} or {G}.",n/a,n/a,[],"['B', 'G']",['Indestructible'],mh2,common
Dauthi Voidwalker,{B}{B},2.0,Creature — Dauthi Rogue,"Shadow (This creature can block or be blocked by only creatures with shadow.)
If a card would be put into an opponent's graveyard from anywhere, instead exile it with a void counter on it.
{T}, Sacrifice Dauthi Voidwalker: Choose an exiled card an opponent owns with a void counter on it. You may play it this turn without paying its mana cost.",3,2,['B'],['B'],['Shadow'],mh2,rare
Deepwood Denizen,{2}{G},3.0,Creature — Elf Warrior,"Vigilance
{5}{G}, {T}: Draw a card. This ability costs {1} less to activate for each +1/+1 counter on creatures you control.",3,2,['G'],['G'],['Vigilance'],mh2,common
Dermotaxi,{2},2.0,Artifact — Vehicle,"Imprint — As Dermotaxi enters the battlefield, exile a creature card from a graveyard.
Tap two untapped creatures you control: Until end of turn, Dermotaxi becomes a copy of the exiled card, except it's a Vehicle artifact in addition to its other types.",0,0,[],[],['Imprint'],mh2,rare
Diamond Lion,{2},2.0,Artifact Creature — Cat,"{T}, Discard your hand, Sacrifice Diamond Lion: Add three mana of any one color. Activate only as an instant.",2,2,[],[],[],mh2,rare
Dihada's Ploy,{1}{U}{B},3.0,Instant,"Draw two cards, then discard a card. You gain life equal to the number of cards you've discarded this turn.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",n/a,n/a,"['B', 'U']","['B', 'U']",['Jump-start'],mh2,common
Discerning Taste,{2}{B},3.0,Sorcery,Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard. You gain life equal to the greatest power among creature cards put into your graveyard this way.,n/a,n/a,['B'],['B'],[],mh2,common
Disciple of the Sun,{4}{W},5.0,Creature — Human Cleric,"Lifelink
When Disciple of the Sun enters the battlefield, return target permanent card with mana value 3 or less from your graveyard to your hand.",3,3,['W'],['W'],['Lifelink'],mh2,common
Dragon's Rage Channeler,{R},1.0,Creature — Human Shaman,"Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
Delirium — As long as there are four or more card types among cards in your graveyard, Dragon's Rage Channeler gets +2/+2, has flying, and attacks each combat if able.",1,1,['R'],['R'],"['Delirium', 'Surveil']",mh2,uncommon
Dress Down,{1}{U},2.0,Enchantment,"Flash
When Dress Down enters the battlefield, draw a card.
Creatures lose all abilities.
At the beginning of the end step, sacrifice Dress Down.",n/a,n/a,['U'],['U'],['Flash'],mh2,rare
Drey Keeper,{3}{B}{G},5.0,Creature — Elf Druid,"When Drey Keeper enters the battlefield, create two 1/1 green Squirrel creature tokens.
{3}{B}: Squirrels you control get +1/+0 and gain menace until end of turn.",2,2,"['B', 'G']","['B', 'G']",[],mh2,common
Drossforge Bridge,,0.0,Artifact Land,"Drossforge Bridge enters the battlefield tapped.
Indestructible
{T}: Add {B} or {R}.",n/a,n/a,[],"['B', 'R']",['Indestructible'],mh2,common
Duskshell Crawler,{1}{G},2.0,Creature — Insect,"When Duskshell Crawler enters the battlefield, put a +1/+1 counter on target creature.
Each creature you control with a +1/+1 counter on it has trample.",0,3,['G'],['G'],[],mh2,common
Echoing Return,{B},1.0,Sorcery,Return target creature card and all other cards with the same name as that card from your graveyard to your hand.,n/a,n/a,['B'],['B'],[],mh2,common
Enchantress's Presence,{2}{G},3.0,Enchantment,"Whenever you cast an enchantment spell, draw a card.",n/a,n/a,['G'],['G'],[],mh2,rare
Endurance,{1}{G}{G},3.0,Creature — Elemental Incarnation,"Flash
Reach
When Endurance enters the battlefield, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order.
Evoke—Exile a green card from your hand.",3,4,['G'],['G'],"['Reach', 'Evoke', 'Flash']",mh2,mythic
Esper Sentinel,{W},1.0,Artifact Creature — Human Soldier,"Whenever an opponent casts their first noncreature spell each turn, draw a card unless that player pays {X}, where X is Esper Sentinel's power.",1,1,['W'],['W'],[],mh2,rare
Etherium Spinner,{2}{U},3.0,Artifact Creature — Human Wizard,"Whenever you cast a spell with mana value 4 or greater, create a 1/1 colorless Thopter artifact creature token with flying.",2,1,['U'],['U'],[],mh2,common
Ethersworn Sphinx,{7}{W}{U},9.0,Artifact Creature — Sphinx,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Flying
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card with lesser mana value. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",4,4,"['U', 'W']","['U', 'W']","['Cascade', 'Flying', 'Affinity']",mh2,uncommon
Extruder,{4},4.0,Artifact Creature — Juggernaut,"Echo {4} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
Sacrifice an artifact: Put a +1/+1 counter on target creature.",4,3,[],[],['Echo'],mh2,uncommon
Fae Offering,{2}{G},3.0,Enchantment,"At the beginning of each end step, if you've cast both a creature spell and a noncreature spell this turn, create a Clue token, a Food token, and a Treasure token.",n/a,n/a,['G'],['G'],"['Treasure', 'Food']",mh2,uncommon
Fairgrounds Patrol,{1}{W},2.0,Creature — Human Soldier,"{1}{W}, Exile Fairgrounds Patrol from your graveyard: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only as a sorcery.",2,1,['W'],['W'],[],mh2,common
Faithless Salvaging,{1}{R},2.0,Instant,"Discard a card, then draw a card.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",n/a,n/a,['R'],['R'],['Rebound'],mh2,common
Fast // Furious,{2}{R} // {3}{R}{R},8.0,Instant // Sorcery,n/a,n/a,n/a,['R'],['R'],[],mh2,uncommon
Feast of Sanity,{3}{B},4.0,Enchantment,"Whenever you discard a card, Feast of Sanity deals 1 damage to any target and you gain 1 life.",n/a,n/a,['B'],['B'],[],mh2,uncommon
Filigree Attendant,{2}{U}{U},4.0,Artifact Creature — Homunculus,"Flying
Filigree Attendant's power is equal to the number of artifacts you control.",*,3,['U'],['U'],['Flying'],mh2,uncommon
Fire // Ice,{1}{R} // {1}{U},4.0,Instant // Instant,n/a,n/a,n/a,"['R', 'U']","['R', 'U']",[],mh2,rare
Flame Blitz,{R},1.0,Enchantment,"At the beginning of your end step, Flame Blitz deals 5 damage to each planeswalker.
Cycling {2} ({2}, Discard this card: Draw a card.)",n/a,n/a,['R'],['R'],['Cycling'],mh2,uncommon
Flame Rift,{1}{R},2.0,Sorcery,Flame Rift deals 4 damage to each player.,n/a,n/a,['R'],['R'],[],mh2,uncommon
Flametongue Yearling,{R}{R},2.0,Creature — Kavu,"Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.)
Flametongue Yearling enters the battlefield with a +1/+1 counter on it for each time it was kicked.
When Flametongue Yearling enters the battlefield, it deals damage equal to its power to target creature.",2,1,['R'],['R'],['Multikicker'],mh2,uncommon
Flay Essence,{1}{B}{B},3.0,Sorcery,Exile target creature or planeswalker. You gain life equal to the number of counters on it.,n/a,n/a,['B'],['B'],[],mh2,uncommon
Floodhound,{U},1.0,Creature — Elemental Dog,"{3}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",1,2,['U'],['U'],['Investigate'],mh2,common
Flourishing Strike,{1}{G},2.0,Instant,"Choose one —
• Flourishing Strike deals 5 damage to target creature with flying.
• Target creature gets +3/+3 until end of turn.
Entwine {2}{G} (Choose both if you pay the entwine cost.)",n/a,n/a,['G'],['G'],['Entwine'],mh2,common
Fodder Tosser,{3},3.0,Artifact,"{T}, Discard a card: Fodder Tosser deals 2 damage to target player or planeswalker.",n/a,n/a,[],[],[],mh2,common
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),n/a,n/a,[],['G'],[],mh2,common
Foul Watcher,{1}{U},2.0,Creature — Nightmare Bird,"Flying
When Foul Watcher enters the battlefield, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
Delirium — Foul Watcher gets +1/+0 as long as there are four or more card types among cards in your graveyard.",1,2,['U'],['U'],"['Flying', 'Delirium', 'Surveil']",mh2,common
Foundation Breaker,{3}{G},4.0,Creature — Elemental,"When Foundation Breaker enters the battlefield, you may destroy target artifact or enchantment.
Evoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",2,2,['G'],['G'],['Evoke'],mh2,uncommon
Foundry Helix,{1}{R}{W},3.0,Instant,"As an additional cost to cast this spell, sacrifice a permanent.
Foundry Helix deals 4 damage to any target. If the sacrificed permanent was an artifact, you gain 4 life.",n/a,n/a,"['R', 'W']","['R', 'W']",[],mh2,common
Fractured Sanity,{U}{U}{U},3.0,Sorcery,"Each opponent mills fourteen cards.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Fractured Sanity, each opponent mills four cards.",n/a,n/a,['U'],['U'],"['Mill', 'Cycling']",mh2,rare
Funnel-Web Recluse,{4}{G},5.0,Creature — Spider,"Reach
Morbid — When Funnel-Web Recluse enters the battlefield, if a creature died this turn, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",3,5,['G'],['G'],"['Reach', 'Investigate', 'Morbid']",mh2,common
Fury,{3}{R}{R},5.0,Creature — Elemental Incarnation,"Double strike
When Fury enters the battlefield, it deals 4 damage divided as you choose among any number of target creatures and/or planeswalkers.
Evoke—Exile a red card from your hand.",3,3,['R'],['R'],"['Evoke', 'Double strike']",mh2,mythic
Gaea's Will,,0.0,Sorcery,"Suspend 4—{G}
Until end of turn, you may play lands and cast spells from your graveyard.
If a card would be put into your graveyard from anywhere this turn, exile that card instead.",n/a,n/a,['G'],['G'],['Suspend'],mh2,rare
Galvanic Relay,{2}{R},3.0,Sorcery,"Exile the top card of your library. During your next turn, you may play that card.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",n/a,n/a,['R'],['R'],['Storm'],mh2,common
Gargadon,{5}{R}{R},7.0,Creature — Beast,"Trample
Suspend 4—{1}{R} (Rather than cast this card from your hand, you may pay {1}{R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)",7,5,['R'],['R'],"['Suspend', 'Trample']",mh2,common
Garth One-Eye,{W}{U}{B}{R}{G},5.0,Legendary Creature — Human Wizard,"{T}: Choose a card name that hasn't been chosen from among Disenchant, Braingeyser, Terror, Shivan Dragon, Regrowth, and Black Lotus. Create a copy of the card with the chosen name. You may cast the copy. (You still pay its costs.)",5,5,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",[],mh2,mythic
General Ferrous Rokiric,{1}{R}{W},3.0,Legendary Creature — Human Soldier,"Hexproof from monocolored
Whenever you cast a multicolored spell, create a 4/4 red and white Golem artifact creature token.",3,1,"['R', 'W']","['R', 'W']","['Hexproof from', 'Hexproof']",mh2,rare
