name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Cultivator's Caravan,{3},3.0,Artifact — Vehicle,"{T}: Add one mana of any color.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",5,5,[],[],['Crew'],fdn,rare
Curator of Destinies,{4}{U}{U},6.0,Creature — Sphinx,"This spell can't be countered.
Flying
When this creature enters, look at the top five cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.",5,5,['U'],['U'],['Flying'],fdn,rare
Darksteel Colossus,{11},11.0,Artifact Creature — Golem,"Trample, indestructible
If Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead.",11,11,[],[],"['Indestructible', 'Trample']",fdn,mythic
Dauntless Veteran,{1}{W}{W},3.0,Creature — Human Soldier,"Whenever this creature attacks, creatures you control get +1/+1 until end of turn.",2,2,['W'],['W'],[],fdn,uncommon
Dawnwing Marshal,{1}{W},2.0,Creature — Cat Soldier,"Flying
{4}{W}: Creatures you control get +1/+1 until end of turn.",2,2,['W'],['W'],['Flying'],fdn,uncommon
Day of Judgment,{2}{W}{W},4.0,Sorcery,Destroy all creatures.,n/a,n/a,['W'],['W'],[],fdn,rare
Dazzling Angel,{2}{W},3.0,Creature — Angel,"Flying
Whenever another creature you control enters, you gain 1 life.",2,3,['W'],['W'],['Flying'],fdn,common
Deadly Brew,{B}{G},2.0,Sorcery,"Each player sacrifices a creature or planeswalker. If you sacrificed a permanent this way, you may return another permanent card from your graveyard to your hand.",n/a,n/a,"['B', 'G']","['B', 'G']",[],fdn,uncommon
Deadly Plot,{3}{B},4.0,Instant,"Choose one —
• Destroy target creature or planeswalker.
• Return target Zombie creature card from your graveyard to the battlefield tapped.",n/a,n/a,['B'],['B'],[],fdn,uncommon
Deadly Riposte,{1}{W},2.0,Instant,Deadly Riposte deals 3 damage to target tapped creature and you gain 2 life.,n/a,n/a,['W'],['W'],[],fdn,common
Death Baron,{1}{B}{B},3.0,Creature — Zombie Wizard,Skeletons you control and other Zombies you control get +1/+1 and have deathtouch.,2,2,['B'],['B'],[],fdn,rare
Deathmark,{B},1.0,Sorcery,Destroy target green or white creature.,n/a,n/a,['B'],['B'],[],fdn,uncommon
Demolition Field,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice Demolition Field: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.",n/a,n/a,[],[],[],fdn,uncommon
Demonic Pact,{2}{B}{B},4.0,Enchantment,"At the beginning of your upkeep, choose one that hasn't been chosen —
• Demonic Pact deals 4 damage to any target and you gain 4 life.
• Target opponent discards two cards.
• Draw two cards.
• You lose the game.",n/a,n/a,['B'],['B'],[],fdn,mythic
Desecration Demon,{2}{B}{B},4.0,Creature — Demon,"Flying
At the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it.",6,6,['B'],['B'],['Flying'],fdn,rare
Devout Decree,{1}{W},2.0,Sorcery,Exile target creature or planeswalker that's black or red. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),n/a,n/a,['W'],['W'],['Scry'],fdn,uncommon
Diamond Mare,{2},2.0,Artifact Creature — Horse,"As Diamond Mare enters, choose a color.
Whenever you cast a spell of the chosen color, you gain 1 life.",1,3,[],[],[],fdn,uncommon
Dictate of Kruphix,{1}{U}{U},3.0,Enchantment,"Flash
At the beginning of each player's draw step, that player draws an additional card.",n/a,n/a,['U'],['U'],['Flash'],fdn,rare
Dimir Guildgate,,0.0,Land — Gate,"Dimir Guildgate enters tapped.
{T}: Add {U} or {B}.",n/a,n/a,[],"['B', 'U']",[],fdn,common
Diregraf Ghoul,{B},1.0,Creature — Zombie,Diregraf Ghoul enters tapped.,2,2,['B'],['B'],[],fdn,uncommon
Disenchant,{1}{W},2.0,Instant,Destroy target artifact or enchantment.,n/a,n/a,['W'],['W'],[],fdn,common
Dismal Backwater,,0.0,Land,"Dismal Backwater enters tapped.
When Dismal Backwater enters, you gain 1 life.
{T}: Add {U} or {B}.",n/a,n/a,[],"['B', 'U']",[],fdn,common
Dive Down,{U},1.0,Instant,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),n/a,n/a,['U'],['U'],[],fdn,common
Divine Resilience,{W},1.0,Instant,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Target creature you control gains indestructible until end of turn. If this spell was kicked, instead any number of target creatures you control gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",n/a,n/a,['W'],['W'],['Kicker'],fdn,uncommon
Doubling Season,{4}{G},5.0,Enchantment,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.
If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.",n/a,n/a,['G'],['G'],[],fdn,mythic
Dragon Fodder,{1}{R},2.0,Sorcery,Create two 1/1 red Goblin creature tokens.,n/a,n/a,['R'],['R'],[],fdn,common
Dragonlord's Servant,{1}{R},2.0,Creature — Goblin Shaman,Dragon spells you cast cost {1} less to cast.,1,3,['R'],['R'],[],fdn,uncommon
Dragon Mage,{5}{R}{R},7.0,Creature — Dragon Wizard,"Flying
Whenever Dragon Mage deals combat damage to a player, each player discards their hand, then draws seven cards.",5,5,['R'],['R'],['Flying'],fdn,uncommon
Dragonmaster Outcast,{R},1.0,Creature — Human Shaman,"At the beginning of your upkeep, if you control six or more lands, create a 5/5 red Dragon creature token with flying.",1,1,['R'],['R'],[],fdn,mythic
Dragon Trainer,{3}{R}{R},5.0,Creature — Human,"When this creature enters, create a 4/4 red Dragon creature token with flying.",1,1,['R'],['R'],[],fdn,uncommon
Drake Hatcher,{1}{U},2.0,Creature — Human Wizard,"Vigilance, prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever this creature deals combat damage to a player, put that many incubation counters on it.
Remove three incubation counters from this creature: Create a 2/2 blue Drake creature token with flying.",1,3,['U'],['U'],"['Prowess', 'Vigilance']",fdn,rare
"Drakuseth, Maw of Flames",{4}{R}{R}{R},7.0,Legendary Creature — Dragon,"Flying
Whenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.",7,7,['R'],['R'],['Flying'],fdn,rare
Dread Summons,{X}{B}{B},2.0,Sorcery,"Each player mills X cards. For each creature card put into a graveyard this way, you create a tapped 2/2 black Zombie creature token.",n/a,n/a,['B'],['B'],['Mill'],fdn,rare
Dreadwing Scavenger,{1}{U}{B},3.0,Creature — Nightmare Bird,"Flying
Whenever this creature enters or attacks, draw a card, then discard a card.
Threshold — This creature gets +1/+1 and has deathtouch as long as there are seven or more cards in your graveyard.",2,2,"['B', 'U']","['B', 'U']","['Flying', 'Threshold']",fdn,uncommon
