Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Kozilek's Command,,R,17354,2.45,6408,2.59,31376,,,4817,,7656,,12473,,18870,,7.3pp,{X}{C}{C},2,Kindred Instant — Eldrazi,"Choose two —
• Target player creates X 0/1 colorless Eldrazi Spawn creature tokens with ""Sacrifice this creature: Add {C}.""
• Target player scries X, then draws a card.
• Exile target creature with mana value X or less.
• Exile up to X target cards from graveyards.",,,[],[],[],mh3,rare
Null Elemental Blast,,U,117346,7.75,11339,11.76,4401,,,695,,1032,,1727,,2676,,-0.5pp,{C},1,Instant,"Choose one —
• Counter target multicolored spell.
• Destroy target multicolored permanent.",,,[],[],[],mh3,uncommon
Nulldrifter,U,R,11231,1.6,6814,1.62,38212,,,6387,,9935,,16322,,21530,,3.8pp,{7},7,Creature — Eldrazi Elemental,"When you cast this spell, draw two cards.
Flying
Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)
Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",4,4,[],['U'],"['Flying', 'Annihilator', 'Evoke']",mh3,rare
Twisted Riddlekeeper,U,U,70179,3.78,16749,4.71,84445,,,13222,,22208,,35430,,48040,,3.4pp,{8},8,Creature — Eldrazi Sphinx,"Emerge {5}{C}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, tap up to two target permanents. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Flying",5,5,[],['U'],"['Flying', 'Emerge']",mh3,uncommon
"Ulamog, the Defiler",,M,5198,1.55,2780,1.5,13315,,,2031,,3374,,5405,,7642,,0.1pp,{10},10,Legendary Creature — Eldrazi,"When you cast this spell, target opponent exiles the top half of their library, rounded up.
Ward—Sacrifice two permanents.
Ulamog, the Defiler enters the battlefield with a number of +1/+1 counters on it equal to the greatest mana value among cards in exile.
Ulamog has annihilator X, where X is the number of +1/+1 counters on it.",7,7,[],[],['Ward'],mh3,mythic
Warped Tusker,G,C,237459,4.89,35668,6.98,178188,,,29946,,41494,,71440,,104456,,0.6pp,{7},7,Creature — Eldrazi Boar Beast,"Reach
When you cast or cycle Warped Tusker, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""
Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)",6,8,[],['G'],"['Reach', 'Cycling']",mh3,common
Wastescape Battlemage,UG,U,63907,3.51,17315,4.22,89462,,,14940,,21934,,36874,,50955,,3.6pp,{1}{C},2,Creature — Eldrazi Wizard,"Kicker {G} and/or {1}{U}
When you cast this spell, if it was kicked with its {G} kicker, exile target artifact or enchantment an opponent controls.
When you cast this spell, if it was kicked with its {1}{U} kicker, return target creature an opponent controls to its owner's hand.",2,2,[],"['G', 'U']",['Kicker'],mh3,uncommon
Aerie Auxiliary,W,C,204767,4.48,52125,5.38,289467,,,47897,,57981,,105878,,183152,,1.5pp,{3}{W},4,Creature — Bird Soldier,"Flying
When Aerie Auxiliary enters the battlefield, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",3,3,['W'],['W'],"['Flying', 'Support']",mh3,common
Ajani Fells the Godsire,W,U,70639,4.04,17664,4.79,89889,,,14131,,18470,,32601,,56535,,0.6pp,{3}{W}{W},5,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Exile target creature an opponent controls with power 3 or greater.
II — Create a 2/1 white Cat Warrior creature token, then put a vigilance counter on a creature you control.
III — Target creature you control gains double strike until end of turn.",,,['W'],['W'],[],mh3,uncommon
Argent Dais,W,R,42756,5.93,4888,9.13,3646,,,605,,778,,1383,,2235,,-2.7pp,{1}{W},2,Artifact,"Argent Dais enters the battlefield with two oil counters on it.
Whenever two or more creatures attack, put an oil counter on Argent Dais.
{2}, {T}, Remove two oil counters from Argent Dais: Exile another target nonland permanent. Its controller draws two cards.",,,['W'],['W'],[],mh3,rare
Charitable Levy,W,U,119292,8.3,12779,12.19,927,,,155,,224,,379,,544,,,{1}{W},2,Enchantment,"Noncreature spells cost {1} more to cast.
Whenever a player casts a noncreature spell, put a collection counter on Charitable Levy. Then if there are three or more collection counters on it, sacrifice it. If you do, draw a card, then you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",,,['W'],['W'],[],mh3,uncommon
Dog Umbra,W,C,241490,5.27,41226,7.15,198869,,,32668,,40047,,72715,,124900,,-0.9pp,{1}{W},2,Enchantment — Aura,"Flash
Enchant creature
As long as another player controls enchanted creature, it can't attack or block. Otherwise, Dog Umbra has umbra armor. (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",,,['W'],['W'],"['Enchant', 'Flash']",mh3,common
Envoy of the Ancestors,W,U,74543,4.32,13263,5.65,63980,,,10913,,13193,,24106,,39898,,-1.4pp,{2}{W},3,Creature — Human Cleric,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Modified creatures you control have lifelink. (Equipment, Auras you control, and counters are modifications.)",2,3,['W'],['W'],['Outlast'],mh3,uncommon
Essence Reliquary,W,U,110971,7.16,18897,9.22,43582,,,7203,,9742,,16945,,26292,,-4.0pp,{2}{W},3,Artifact,{T}: Return another target permanent you control and all Auras you control attached to it to their owner's hand. Activate only during your turn.,,,['W'],['W'],[],mh3,uncommon
Expel the Unworthy,W,C,268630,6.24,31317,9.17,92963,,,15646,,19376,,35022,,57930,,-2.7pp,{1}{W},2,Sorcery,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Choose target creature with mana value 3 or less. If this spell was kicked, instead choose target creature. Exile the chosen creature, then its controller gains life equal to its mana value.",,,['W'],['W'],['Kicker'],mh3,common
Flare of Fortitude,W,R,40648,5.5,4477,8.6,4331,,,626,,880,,1506,,2827,,-2.3pp,{2}{W}{W},4,Instant,"You may sacrifice a nontoken white creature rather than pay this spell's mana cost.
Until end of turn, your life total can't change, and permanents you control gain hexproof and indestructible.",,,['W'],['W'],[],mh3,rare
Glyph Elemental,W,U,48080,2.79,18171,3.08,102431,,,18589,,20755,,39344,,62683,,1.9pp,{1}{W},2,Enchantment Creature — Elemental,"Bestow {1}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on Glyph Elemental.
Enchanted creature gets +1/+1 for each +1/+1 counter on Glyph Elemental.",2,2,['W'],['W'],"['Bestow', 'Landfall']",mh3,uncommon
Guardian of the Forgotten,W,U,89741,5.28,13617,7.19,53881,,,8689,,11122,,19811,,34141,,-1.2pp,{3}{W},4,Creature — Elephant Warrior,"Vigilance
Whenever a modified creature you control dies, manifest the top card of your library. (Equipment, Auras you control, and counters are modifications. To manifest a card, put the top card of your library onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)",4,4,['W'],['W'],"['Vigilance', 'Manifest']",mh3,uncommon
Guide of Souls,W,R,11488,1.68,7750,1.65,46979,,,8566,,9796,,18362,,28367,,11.4pp,{W},1,Creature — Human Cleric,"Whenever another creature enters the battlefield under your control, you gain 1 life and get {E} (an energy counter).
Whenever you attack, you may pay {E}{E}{E}. When you do, put two +1/+1 counters and a flying counter on target attacking creature. It becomes an Angel in addition to its other types.",1,2,['W'],['W'],[],mh3,rare
Hexgold Slith,W,C,228833,5.03,44186,6.52,233016,,,41955,,44572,,86527,,146532,,-1.7pp,{1}{W},2,Creature — Slith,"When Hexgold Slith enters the battlefield, you get {E}{E} (two energy counters).
Whenever Hexgold Slith attacks, you may pay {E}{E}. If you do, it gains first strike until end of turn.
Whenever Hexgold Slith deals combat damage to a player, put a +1/+1 counter on it.",2,1,['W'],['W'],[],mh3,common
Indebted Spirit,W,U,95514,5.58,14822,7.53,58537,,,10341,,11275,,21616,,36571,,-2.1pp,{W},1,Enchantment Creature — Spirit,"Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Afterlife 1 (When this permanent is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying.)
Enchanted creature gets +1/+1 and has afterlife 1.",1,1,['W'],['W'],"['Afterlife', 'Bestow']",mh3,uncommon
Inspired Inventor,W,C,253813,5.63,41720,7.7,197129,,,33721,,38549,,72270,,124699,,-2.2pp,{2}{W},3,Creature — Human Artificer,"When Inspired Inventor enters the battlefield, choose one —
• You get {E}{E}{E} (three energy counters).
• Put a +1/+1 counter on target creature.
• Create a 1/1 colorless Servo artifact creature token.",2,2,['W'],['W'],[],mh3,common
Jolted Awake,W,C,294732,7.44,40622,10.42,92084,,,14701,,18533,,33234,,58853,,-2.2pp,{W},1,Sorcery,"Choose up to one target artifact or creature card in your graveyard. You get {E}{E} (two energy counters). Then you may pay an amount of {E} equal to that card's mana value. If you do, return it from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,['W'],['W'],['Cycling'],mh3,common
Mandibular Kite,W,C,260167,5.95,49530,7.59,233269,,,41406,,44593,,85999,,146106,,0.3pp,{W},1,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1 and has flying.
Equip {3}{W}",,,['W'],['W'],"['Equip', 'Living weapon']",mh3,common
Metastatic Evangel,W,U,60422,3.49,17733,4.02,98410,,,17743,,19409,,37152,,61162,,-0.1pp,{1}{W},2,Creature — Phyrexian Human Cleric,"Whenever another nontoken creature enters the battlefield under your control, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",3,1,['W'],['W'],['Proliferate'],mh3,uncommon
Muster the Departed,W,U,101917,6.34,12874,9.09,26291,,,4528,,5500,,10028,,16087,,-1.3pp,{2}{W},3,Enchantment,"When Muster the Departed enters the battlefield, create a 1/1 white Spirit creature token with flying.
Morbid — At the beginning of your end step, if a creature died this turn, populate. (Create a token that's a copy of a creature token you control.)",,,['W'],['W'],"['Populate', 'Morbid']",mh3,uncommon
Nyxborn Unicorn,W,C,261731,5.92,42442,8.02,193880,,,34193,,37597,,71790,,121136,,-2.6pp,{1}{W},2,Enchantment Creature — Unicorn,"Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
Enchanted creature gets +2/+2 and has mentor.",2,2,['W'],['W'],"['Mentor', 'Bestow']",mh3,common
Ocelot Pride,W,M,5622,1.67,3520,1.64,19870,,,3708,,3968,,7676,,12076,,10.0pp,{W},1,Creature — Cat,"First strike, lifelink
Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
At the beginning of your end step, if you gained life this turn, create a 1/1 white Cat creature token. Then if you have the city's blessing, for each token you control that entered the battlefield this turn, create a token that's a copy of it.",1,1,['W'],['W'],"['Lifelink', 'Ascend', 'First strike']",mh3,mythic
"Pearl-Ear, Imperial Advisor",W,R,23829,3.38,6014,3.82,29289,,,4990,,5915,,10905,,18462,,-0.6pp,{1}{W}{W},3,Legendary Creature — Fox Advisor,"Lifelink
Enchantment spells you cast have affinity for Auras. (They cost {1} less to cast for each Aura you control.)
Whenever you cast an Aura spell that targets a modified permanent you control, draw a card. (Equipment, Auras you control, and counters are modifications.)",3,4,['W'],['W'],['Lifelink'],mh3,rare
"Phelia, Exuberant Shepherd",W,R,13503,1.96,7428,1.96,42121,,,7706,,8596,,16302,,25665,,4.2pp,{1}{W},2,Legendary Creature — Dog,"Flash
Whenever Phelia, Exuberant Shepherd attacks, exile up to one other target nonland permanent. At the beginning of the next end step, return that card to the battlefield under its owner's control. If it entered under your control, put a +1/+1 counter on Phelia.",2,2,['W'],['W'],['Flash'],mh3,rare
Proud Pack-Rhino,W,U,76021,4.25,17277,5.28,92489,,,15526,,18460,,33986,,58523,,-0.5pp,{2}{W},3,Creature — Rhino,"When Proud Pack-Rhino enters the battlefield, choose one —
• Put a shield counter on target permanent. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",3,3,['W'],['W'],['Proliferate'],mh3,uncommon
Rosecot Knight,W,C,303224,7.88,37281,11.27,57220,,,8833,,11892,,20725,,36511,,-2.3pp,{4}{W},5,Creature — Human Knight,"Vigilance
When Rosecot Knight enters the battlefield, look at the top six cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, put a +1/+1 counter on Rosecot Knight.",3,4,['W'],['W'],['Vigilance'],mh3,common
Solstice Zealot,W,C,274778,6.5,44986,8.74,188263,,,31730,,37000,,68730,,119591,,-1.6pp,{2}{W},3,Creature — Rhino Cleric,"When Solstice Zealot enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}: Tap target creature.",2,3,['W'],['W'],[],mh3,common
Static Prison,W,U,80082,4.68,19489,5.47,95741,,,15695,,19630,,35325,,59962,,1.3pp,{W},1,Enchantment,"When Static Prison enters the battlefield, exile target nonland permanent an opponent controls until Static Prison leaves the battlefield. You get {E}{E} (two energy counters).
At the beginning of your precombat main phase, sacrifice Static Prison unless you pay {E}.",,,['W'],['W'],[],mh3,uncommon
Thraben Charm,W,C,253757,5.66,46031,7.51,220163,,,35570,,43830,,79400,,140644,,0.0pp,{1}{W},2,Instant,"Choose one —
• Thraben Charm deals damage equal to twice the number of creatures you control to target creature.
• Destroy target enchantment.
• Exile any number of target players' graveyards.",,,['W'],['W'],[],mh3,common
Voltstorm Angel,W,U,62482,3.63,16079,4.28,84814,,,13029,,17443,,30472,,54508,,0.5pp,{3}{W}{W},5,Creature — Angel,"Flying
When Voltstorm Angel enters the battlefield, you get {E}{E}{E} (three energy counters).
At the beginning of combat on your turn, you may pay {E}{E}. When you do, choose one —
• Voltstorm Angel gains vigilance and lifelink until end of turn.
• Other creatures you control get +1/+1 until end of turn.",4,4,['W'],['W'],['Flying'],mh3,uncommon
White Orchid Phantom,W,R,30082,3.97,5319,5.16,22981,,,4019,,4570,,8589,,14399,,-4.3pp,{W}{W},2,Creature — Spirit Knight,"Flying, first strike
When White Orchid Phantom enters the battlefield, destroy up to one target nonbasic land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",2,2,['W'],['W'],"['Flying', 'First strike']",mh3,rare
Wing It,W,C,296123,7.47,40258,10.49,102406,,,15705,,19287,,34992,,67411,,-2.1pp,{1}{W},2,Instant,Target creature gets +2/+2 until end of turn. Put a flying counter on it. Scry 1.,,,['W'],['W'],['Scry'],mh3,common
Wrath of the Skies,W,R,18771,2.76,6830,2.81,30753,,,5051,,7093,,12144,,18630,,2.2pp,{X}{W}{W},2,Sorcery,"You get X {E} (energy counters), then you may pay any amount of {E}. Destroy each artifact, creature, and enchantment with mana value less than or equal to the amount of {E} paid this way.",,,['W'],['W'],[],mh3,rare
Aether Spike,U,C,272665,6.29,42150,8.69,152779,,,26401,,40202,,66603,,86253,,3.3pp,{1}{U},2,Instant,"Choose target spell. You get {E}{E} (two energy counters), then you may pay any amount of {E}. Counter that spell unless its controller pays {1} for each {E} paid this way.",,,['U'],['U'],[],mh3,common
Amphibian Downpour,U,R,24431,3.28,5858,3.85,28457,,,4712,,7499,,12211,,16073,,2.9pp,{2}{U},3,Enchantment — Aura,"Flash
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies. Copies become tokens.)
Enchant creature
Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1.",,,['U'],['U'],"['Storm', 'Enchant', 'Flash']",mh3,rare
Bespoke Battlewagon,U,U,87530,5.15,15813,6.63,58836,,,9891,,15557,,25448,,33524,,2.3pp,{3}{U},4,Artifact — Vehicle,"{T}: You get {E}{E} (two energy counters).
{T}, Pay {E}{E}: Tap target creature.
{T}, Pay {E}{E}{E}: Draw a card.
Pay {E}{E}{E}{E}: Bespoke Battlewagon becomes an artifact creature until end of turn.
Crew 4",5,6,['U'],['U'],['Crew'],mh3,uncommon
Brainsurge,U,U,93030,5.34,16076,7.07,68589,,,11749,,19656,,31405,,37286,,5.1pp,{2}{U},3,Instant,"Draw four cards, then put two cards from your hand on top of your library in any order.",,,['U'],['U'],[],mh3,uncommon
Consign to Memory,U,U,116419,7.64,13592,11.11,12640,,,2051,,3419,,5470,,7183,,0.2pp,{U},1,Instant,"Replicate {1} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Counter target triggered ability or colorless spell.",,,['U'],['U'],['Replicate'],mh3,uncommon
Copycrook,U,U,88092,5.03,13607,6.85,52467,,,8090,,14802,,22892,,29573,,2.6pp,{2}{U}{U},4,Creature — Shapeshifter Rogue,"You may have Copycrook enter the battlefield as a copy of any creature on the battlefield, except it has ""Whenever this creature attacks, it connives."" (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",0,0,['U'],['U'],['Connive'],mh3,uncommon
Corrupted Shapeshifter,U,C,281151,6.69,28579,10.23,60115,,,9611,,15627,,25238,,34536,,-0.1pp,{3}{U},4,Creature — Eldrazi Shapeshifter,"Devoid (This card has no color.)
As Corrupted Shapeshifter enters the battlefield, it becomes your choice of a 3/3 creature with flying, a 2/5 creature with vigilance, or a 0/12 creature with defender.",,,[],['U'],['Devoid'],mh3,common
Deem Inferior,U,C,275860,6.27,51872,8.28,224615,,,36447,,63514,,99961,,124917,,3.9pp,{3}{U},4,Sorcery,"This spell costs {1} less to cast for each card you've drawn this turn.
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",,,['U'],['U'],[],mh3,common
Depth Defiler,U,U,55811,3.18,18958,3.58,100765,,,16081,,28053,,44134,,55758,,6.6pp,{3}{U}{U},5,Creature — Eldrazi,"Devoid (This card has no color.)
Kicker {C} (You may pay an additional {C} as you cast this spell.)
When you cast this spell, choose one. If it was kicked, choose both instead.
• Return target creature to its owner's hand.
• Target player draws two cards, then discards a card.",3,5,[],['U'],"['Devoid', 'Kicker']",mh3,uncommon
Dreamtide Whale,U,R,25866,3.59,6083,4.18,26821,,,4711,,7203,,11914,,14996,,3.1pp,{2}{U},3,Creature — Whale,"Vanishing 2 (This creature enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
Whenever a player casts their second spell each turn, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",7,5,['U'],['U'],"['Vanishing', 'Proliferate']",mh3,rare
Electrozoa,U,C,295768,7.53,39488,10.6,83458,,,14152,,20817,,34969,,48544,,0.9pp,{2}{U},3,Creature — Jellyfish,"Flash
Flying
When Electrozoa enters the battlefield, you get {E}{E} (two energy counters).
At the beginning of your precombat main phase, tap Electrozoa unless you pay {E}.",3,1,['U'],['U'],"['Flying', 'Flash']",mh3,common
Emrakul's Messenger,U,U,65073,3.66,16515,4.39,83774,,,14877,,23051,,37928,,45657,,3.7pp,{1}{U},2,Creature — Eldrazi Faerie Rogue,"Devoid (This card has no color.)
Flying
Whenever you draw your second card each turn, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",2,1,[],['U'],"['Flying', 'Devoid']",mh3,uncommon
Flare of Denial,U,R,33155,4.36,5047,6.0,16833,,,2672,,4883,,7555,,9282,,3.1pp,{1}{U}{U},3,Instant,"You may sacrifice a nontoken blue creature rather than pay this spell's mana cost.
Counter target spell.",,,['U'],['U'],[],mh3,rare
Harbinger of the Seas,U,R,46111,6.19,5125,9.66,626,,,98,,166,,264,,366,,,{1}{U}{U},3,Creature — Merfolk Wizard,Nonbasic lands are Islands.,2,2,['U'],['U'],[],mh3,rare
Hope-Ender Coatl,U,U,64503,3.55,15994,4.33,83714,,,14516,,22210,,36726,,46699,,4.1pp,{2}{U},3,Creature — Eldrazi Snake,"Devoid (This card has no color.)
Flash
When you cast this spell, counter target spell an opponent controls unless they pay {1}.
Flying",2,2,[],['U'],"['Flying', 'Devoid', 'Flash']",mh3,uncommon
Kozilek's Unsealing,U,U,71937,4.39,13493,5.48,51924,,,9004,,12846,,21850,,29537,,0.4pp,{2}{U},3,Enchantment,"Devoid (This card has no color.)
Whenever you cast a creature spell with mana value 4, 5, or 6, create two 0/1 colorless Eldrazi Spawn creature tokens with ""Sacrifice this creature: Add {C}.""
Whenever you cast a creature spell with mana value 7 or greater, draw three cards.",,,[],['U'],['Devoid'],mh3,uncommon
Petrifying Meddler,U,C,243008,5.15,40190,7.18,186456,,,30235,,49991,,80226,,104603,,3.2pp,{4}{U},5,Creature — Eldrazi,"Devoid (This card has no color.)
When you cast this spell, tap up to one target creature and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Reach",4,5,[],['U'],"['Reach', 'Devoid']",mh3,common
Roil Cartographer,U,U,72747,4.21,18718,4.93,90872,,,16127,,24212,,40339,,50588,,5.1pp,{1}{U},2,Creature — Merfolk Rogue,"Landfall — Whenever a land enters the battlefield under your control, you get {E} (an energy counter).
{T}, Pay six {E}: Draw three cards.",1,3,['U'],['U'],['Landfall'],mh3,uncommon
Sage of the Unknowable,U,C,280408,6.63,34838,9.57,108706,,,19634,,27247,,46881,,61222,,-0.4pp,{1}{U},2,Creature — Human Wizard,{T}: Add {C}. Spend this mana only to cast a colorless spell or to activate an ability.,0,4,['U'],['U'],[],mh3,common
Serum Visionary,U,C,240887,5.14,48380,6.71,240766,,,42701,,65398,,108099,,131503,,4.9pp,{2}{U},3,Creature — Vedalken Wizard,"When Serum Visionary enters the battlefield, draw a card, then scry 2.",2,2,['U'],['U'],['Scry'],mh3,common
Shadow of the Second Sun,U,M,15253,4.12,3568,4.76,13403,,,2144,,4023,,6167,,7265,,5.4pp,{4}{U}{U},6,Enchantment — Aura,"Enchant player
At the beginning of enchanted player's postcombat main phase, there is an additional beginning phase after this phase. (The end step happens after the added untap, upkeep, and draw steps.)",,,['U'],['U'],['Enchant'],mh3,mythic
Strix Serenade,U,R,43290,5.83,4250,9.37,2446,,,384,,598,,982,,1461,,-3.5pp,{U},1,Instant,"Counter target artifact, creature, or planeswalker spell. Its controller creates a 2/2 blue Bird creature token with flying.",,,['U'],['U'],[],mh3,rare
Tamiyo Meets the Story Circle,U,U,110922,6.84,15855,9.5,33343,,,5809,,9543,,15352,,17985,,-1.6pp,{1}{U},2,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Until your next turn, whenever a creature attacks you or a planeswalker you control, it gets -2/-0 until end of turn.
II — Discard any number of cards, then investigate twice for each card discarded this way.
III — Shuffle up to three target cards from your graveyard into your library.",,,['U'],['U'],['Investigate'],mh3,uncommon
Tempest Harvester,U,C,275500,6.37,44511,8.72,171944,,,29920,,45662,,75582,,96356,,2.4pp,{1}{U},2,Creature — Merfolk Wizard,"When Tempest Harvester enters the battlefield, you get {E}{E} (two energy counters).
{T}, Pay {E}: Draw a card, then discard a card.",2,1,['U'],['U'],[],mh3,common
